Time,RPM,vehicleSpeed,shifter,batteryVoltage,batterySOC,batteryMode,batteryVoltage12v
0.709798813,0,0,P,386,94,connected,14
1.213175058,0,0,P,386,94,connected,14
1.713548899,0,0,P,386,94,connected,14
2.215353727,0,0,P,386,94,connected,14
2.715722084,0,0,P,386,94,connected,14
3.203508139,0,0,P,386,94,connected,14
3.704067945,0,0,P,386,94,connected,14
4.206331491,0,0,P,386,94,connected,14
4.707983494,0,0,P,386,94,connected,14
5.209068537,0,0,P,386,94,connected,14
5.711327791,0,0,P,386,94,connected,14
6.214060068,0,0,P,386,94,connected,14
6.716392517,0,0,P,386,94,connected,14
7.2027843,0,0,P,386,94,connected,14
7.706786633,0,0,P,386,94,connected,14
8.207503557,0,0,P,386,94,connected,14
8.708906889,0,0,P,386,94,connected,14
9.212506533,0,0,P,386,94,connected,14
9.713565826,0,0,P,386,94,connected,14
10.20508242,0,0,P,386,94,connected,14
10.71529126,0,0,P,386,94,connected,14
11.20364022,0,0,P,386,94,connected,14
11.70471334,0,0,P,386,94,connected,14
12.20901132,0,0,P,386,94,connected,14
12.71404338,0,0,P,386,94,connected,14
13.21602631,0,0,P,386,94,connected,14
13.70389104,0,0,P,386,94,connected,14
14.20380521,0,0,P,386,94,connected,14
14.7059536,0,0,P,386,94,connected,14
15.20798731,0,0,P,386,94,connected,14
15.70952296,0,0,P,386,94,connected,14
16.2102077,0,0,P,386,94,connected,14
16.71610761,0,0,P,386,94,connected,14
17.20484233,0,0,P,386,94,connected,14
17.70733976,0,0,P,386,94,connected,14
18.20829773,0,0,P,386,94,connected,14
18.71003628,0,0,P,386,94,connected,14
19.20960045,0,0,P,386,94,connected,14
19.71460676,0,0,P,386,94,connected,14
20.21649575,0,0,P,386,94,connected,14
20.70562053,0,0,P,386,94,connected,14
21.20707154,0,0,P,386,94,connected,14
21.71274281,0,0,P,386,94,connected,14
22.2174623,0,0,P,386,94,connected,14
22.70738196,0,0,P,386,94,connected,14
23.21267509,0,0,P,386,94,connected,14
23.70427394,0,0,P,386,94,connected,14
24.20675468,0,0,P,386,94,connected,14
24.71436858,0,0,P,386,94,connected,14
25.20658779,0,0,P,386,94,connected,14
25.71243858,0,0,P,386,94,connected,14
26.2171514,0,0,P,386,94,connected,14
26.70704722,0,0,P,386,94,connected,14
27.21398687,0,0,P,386,94,connected,14
27.70491338,0,0,P,386,94,connected,14
28.21211362,0,0,P,386,94,connected,14
28.7146287,0,0,P,386,94,connected,14
29.21669245,0,0,P,386,94,connected,14
29.70398498,0,0,P,386,94,connected,14
30.20422339,0,0,P,386,94,connected,14
30.71028399,0,0,P,386,94,connected,14
31.21417689,0,0,P,386,94,connected,14
31.7052474,0,0,P,386,94,connected,14
32.21037865,0,0,P,386,94,connected,14
32.71036768,0,0,P,386,94,connected,14
33.20996404,0,0,P,386,94,connected,14
33.7138865,0,0,P,386,94,connected,14
34.21351194,0,0,P,386,94,connected,14
34.71615577,0,0,P,386,94,connected,14
35.20410919,0,0,P,386,94,connected,14
35.70449948,0,0,P,386,94,connected,14
36.20498323,0,0,P,386,94,connected,14
36.7094183,0,0,P,386,94,connected,14
37.21323347,0,0,P,386,94,connected,14
37.71655798,0,0,P,386,94,connected,14
38.20443773,0,0,P,386,94,connected,14
38.71053696,0,0,P,386,94,connected,14
39.21402216,0,0,P,386,94,connected,14
39.70466304,0,0,P,386,94,connected,14
40.20950508,-35,-0.299014956,D,386,94,connected,14
40.71417356,-10,-0.085432845,D,386,94,connected,14
41.20296812,-25,-0.213582112,D,386,94,connected,14
41.71195865,-30,-0.256298534,D,386,94,connected,14
42.20474696,-18,-0.15377912,D,386,94,connected,14
42.70895004,-4,-0.034173138,D,386,94,connected,14
43.21674299,0,0,D,386,94,connected,14
43.70741558,0,0,D,386,94,connected,14
44.21356416,0,0,D,386,94,connected,14
44.70324469,0,0,D,386,94,connected,14
45.20508957,0,0,D,386,94,connected,14
45.71437287,0,0,D,386,94,connected,14
46.20613647,0,0,D,386,94,connected,14
46.70850992,0,0,D,386,94,connected,14
47.21262741,0,0,D,386,94,connected,14
47.70365,0,0,D,386,94,connected,14
48.21027946,-9,-0.07688956,D,386,94,connected,14
48.71481514,-17,-0.145235836,D,386,94,connected,14
49.20433688,-24,-0.205038827,D,386,94,connected,14
49.70776391,-32,-0.273385103,D,386,94,connected,14
50.21298027,-27,-0.230668681,D,386,94,connected,14
50.71681833,0,0,D,386,94,connected,14
51.20494461,0,0,D,386,94,connected,14
51.70808148,0,0,D,386,94,connected,14
52.20989823,0,0,D,386,94,connected,14
52.71406531,0,0,D,386,94,connected,14
53.2023809,0,0,D,386,94,connected,14
53.70863795,0,0,D,386,94,connected,14
54.21131277,0,0,D,386,94,connected,14
54.71279073,0,0,D,386,94,connected,14
55.21668339,0,0,D,386,94,connected,14
55.70527935,0,0,D,386,94,connected,14
56.21300912,0,0,D,386,94,connected,14
56.71463585,0,0,D,386,94,connected,14
57.21678734,0,0,D,386,94,connected,14
57.70424175,0,0,D,386,94,connected,14
58.20950794,0,0,D,386,94,connected,14
58.71376371,0,0,D,386,94,connected,14
59.20607781,0,0,D,386,94,connected,14
59.71279931,0,0,D,386,94,connected,14
60.20416975,0,0,D,386,94,connected,14
60.70817065,0,0,D,386,94,connected,14
61.21053958,0,0,D,386,94,connected,14
61.71610117,0,0,D,386,94,connected,14
62.20214987,0,0,D,386,94,connected,14
62.70600772,0,0,D,386,94,connected,14
63.20904016,0,0,D,386,94,connected,14
63.71012449,0,0,D,386,94,connected,14
64.21561146,0,0,D,386,94,connected,14
64.70852399,0,0,D,386,94,connected,14
65.21363282,0,0,D,386,94,connected,14
65.70350361,0,0,D,386,94,connected,14
66.21020484,0,0,D,386,94,connected,14
66.71456695,0,0,D,386,94,connected,14
67.21809769,0,0,D,386,94,connected,14
67.70245004,0,0,D,386,94,connected,14
68.2068553,0,0,D,386,94,connected,14
68.71007633,0,0,D,386,94,connected,14
69.21388268,-1,-0.008543284,D,386,94,connected,14
69.71680784,-14,-0.119605983,D,386,94,connected,14
70.20554757,4,0.034173138,D,386,94,connected,14
70.70793247,45,0.384447801,D,386,94,connected,14
71.21543646,100,0.854328447,D,386,94,connected,14
71.70556903,157,1.341295661,D,386,94,connected,14
72.20908427,210,1.794089738,D,385,94,connected,14
72.71272326,264,2.255427099,D,385,94,connected,14
73.2151792,311,2.656961469,D,385,94,connected,14
73.70240664,348,2.973062994,D,385,94,connected,14
74.20698619,386,3.297707804,D,385,94,connected,14
74.71201468,414,3.536919769,D,385,94,connected,14
75.21701527,425,3.630895898,D,385,94,connected,14
75.70475912,430,3.67361232,D,385,94,connected,14
76.20999074,440,3.759045165,D,385,94,connected,14
76.7150147,452,3.861564578,D,385,94,connected,14
77.20339704,450,3.84447801,D,385,94,connected,14
77.70981836,448,3.827391441,D,385,94,connected,14
78.21241665,443,3.784675018,D,385,94,connected,14
78.71391559,418,3.571092907,D,385,94,connected,14
79.20345044,398,3.400227217,D,385,94,connected,14
79.70630288,382,3.263534666,D,385,94,connected,14
80.21409702,367,3.135385399,D,385,94,connected,14
80.70350766,345,2.947433141,D,386,94,connected,14
81.2094357,318,2.71676446,D,386,94,connected,14
81.70925832,294,2.511725633,D,386,94,connected,14
82.21341443,265,2.263970383,D,386,94,connected,14
82.7158978,243,2.076018125,D,386,94,connected,14
83.20383191,206,1.7599166,D,386,94,connected,14
83.70775247,175,1.495074781,D,386,93,connected,14
84.21095252,143,1.221689679,D,386,93,connected,14
84.71559668,111,0.948304576,D,386,93,connected,14
85.21727157,86,0.734722464,D,386,93,connected,14
85.70437169,62,0.529683637,D,386,93,connected,14
86.207057,40,0.341731379,D,386,93,connected,14
86.70956182,14,0.119605983,D,386,93,connected,14
87.21555805,0,0,D,386,93,connected,14
87.70369005,-1,-0.008543284,D,386,93,connected,14
88.20633674,0,0,D,386,93,connected,14
88.71232462,0,0,D,386,93,connected,14
89.20230269,0,0,D,386,93,connected,14
89.70633888,0,0,D,386,93,connected,14
90.21137881,0,0,D,386,93,connected,14
90.71514511,-1,-0.008543284,D,386,93,connected,14
91.2042551,0,0,D,386,93,connected,14
91.70937204,0,0,D,386,93,connected,14
92.21354055,0,0,D,386,93,connected,14
92.71730351,0,0,D,386,93,connected,14
93.20844674,0,0,D,386,93,connected,14
93.71169186,0,0,D,386,93,connected,14
94.21955347,0,0,D,386,93,connected,14
94.72243762,0,0,D,386,93,connected,14
95.20484233,0,0,D,386,93,connected,14
95.70768476,0,0,D,386,93,connected,14
96.20679641,0,0,D,386,93,connected,14
96.70590734,0,0,D,386,93,connected,14
97.20400286,0,0,D,386,93,connected,14
97.7058866,0,0,D,386,93,connected,14
98.21247053,0,0,D,386,93,connected,14
98.71621299,0,0,D,386,93,connected,14
99.21753335,0,0,D,386,93,connected,14
99.70777154,0,0,D,386,93,connected,14
100.2105012,4,0.034173138,D,386,93,connected,14
100.7137098,27,0.230668681,D,386,93,connected,14
101.2047353,81,0.692006042,D,386,93,connected,14
101.7097535,150,1.28149267,D,385,93,connected,14
102.2126007,240,2.050388272,D,385,93,connected,14
102.716677,346,2.955976425,D,385,93,connected,14
103.2058232,457,3.904281001,D,383,93,connected,14
103.7126746,582,4.972191559,D,382,93,connected,14
104.2039206,706,6.031558833,D,382,93,connected,14
104.7060142,837,7.150729098,D,381,93,connected,14
105.2091823,965,8.244269509,D,381,93,connected,14
105.7098808,1087,9.286550214,D,379,93,connected,14
106.2157934,1203,10.27757121,D,379,93,connected,14
106.7070851,1309,11.18315937,D,379,93,connected,14
107.2145357,1404,11.99477139,D,378,93,connected,14
107.7035036,1486,12.69532072,D,379,93,connected,14
108.2096505,1543,13.18228793,D,379,93,connected,14
108.715565,1564,13.3616969,D,381,93,connected,14
109.2060924,1589,13.57527902,D,382,93,connected,14
109.7132461,1552,13.25917749,D,382,93,connected,14
110.2025421,1485,12.68677743,D,388,93,connected,14
110.7073786,1530,13.07122523,D,385,93,connected,14
111.2106085,1509,12.89181626,D,385,93,connected,14
111.7169905,1471,12.56717145,D,386,93,connected,14
112.2113881,1471,12.56717145,D,386,93,connected,14
112.7166121,1414,12.08020423,D,386,93,connected,14
113.2087498,1346,11.49926089,D,388,93,connected,14
113.7143173,1271,10.85851456,D,388,93,connected,14
114.2087989,1182,10.09816224,D,389,93,connected,14
114.7146871,1112,9.500132326,D,388,93,connected,14
115.2074721,1018,8.697063586,D,388,93,connected,14
115.7117085,953,8.141750096,D,388,93,connected,14
116.2166147,918,7.842735139,D,386,93,connected,14
116.7066629,937,8.005057544,D,386,93,connected,14
117.213742,935,7.987970975,D,386,93,connected,14
117.7038207,938,8.013600829,D,385,93,connected,14
118.2107542,938,8.013600829,D,385,93,connected,14
118.7022805,938,8.013600829,D,386,93,connected,14
119.208853,938,8.013600829,D,385,93,connected,14
119.7127819,940,8.030687398,D,385,93,connected,14
120.2093816,950,8.116120242,D,386,93,connected,14
120.7124157,941,8.039230682,D,386,93,connected,14
121.205097,942,8.047773967,D,386,93,connected,14
121.7145948,944,8.064860536,D,386,93,connected,14
122.2076409,942,8.047773967,D,386,93,connected,14
122.712944,940,8.030687398,D,386,93,connected,14
123.2071958,935,7.987970975,D,386,93,connected,14
123.7146339,927,7.9196247,D,386,93,connected,14
124.209553,922,7.876908277,D,386,93,connected,14
124.7135992,905,7.731672441,D,386,93,connected,14
125.2050142,894,7.637696312,D,386,93,connected,14
125.710804,868,7.415570916,D,385,93,connected,14
126.203516,872,7.449744054,D,384,93,connected,14
126.7118037,891,7.612066459,D,384,93,connected,14
127.2019565,924,7.893994846,D,383,93,connected,14
127.7065909,976,8.338245638,D,383,93,connected,14
128.2140136,1034,8.833756137,D,383,93,connected,14
128.7031357,1087,9.286550214,D,382,93,connected,14
129.2126415,1146,9.790603998,D,382,93,connected,14
129.7038524,1210,10.3373742,D,382,93,connected,14
130.2106669,1252,10.69619215,D,382,93,connected,14
130.7179673,1279,10.92686083,D,382,93,connected,14
131.2100635,1304,11.14044294,D,382,93,connected,14
131.7150297,1329,11.35402505,D,383,93,connected,14
132.2058654,1337,11.42237133,D,383,93,connected,14
132.713546,1357,11.59323702,D,383,93,connected,14
133.2041454,1358,11.6017803,D,384,93,connected,14
133.7099111,1362,11.63595344,D,384,93,connected,14
134.214206,1369,11.69575643,D,384,93,connected,14
134.7066901,1367,11.67866986,D,385,93,connected,14
135.213115,1349,11.52489074,D,385,93,connected,14
135.7171733,1338,11.43091461,D,385,93,connected,14
136.2079058,1296,11.07209667,D,385,93,connected,14
136.7132053,1228,10.49115332,D,387,93,connected,14
137.2045155,1133,9.6795413,D,388,93,connected,14
137.7111876,1035,8.842299422,D,388,93,connected,14
138.2042453,931,7.953797837,D,388,93,connected,14
138.7078726,844,7.210532089,D,387,93,connected,14
139.2112894,884,7.552263468,D,387,93,connected,14
139.7036996,848,7.244705227,D,385,93,connected,14
140.213042,808,6.902973848,D,385,93,connected,14
140.7062171,784,6.697935021,D,385,93,connected,14
141.2142098,724,6.185337953,D,385,93,connected,14
141.7060847,716,6.116991677,D,386,93,connected,14
142.2142878,666,5.689827454,D,386,93,connected,14
142.7172618,627,5.35663936,D,386,93,connected,14
143.2071621,584,4.989278128,D,386,93,connected,14
143.7128987,525,4.485224344,D,386,93,connected,14
144.2028944,463,3.955540708,D,386,93,connected,14
144.7090571,396,3.383140648,D,386,93,connected,14
145.2159646,316,2.699677891,D,386,93,connected,14
145.7089713,263,2.246883814,D,386,93,connected,14
146.2139406,201,1.717200178,D,386,93,connected,14
146.702107,142,1.213146394,D,386,93,connected,14
147.2108405,82,0.700549326,D,386,93,connected,14
147.7039218,32,0.273385103,D,386,93,connected,14
148.2095597,-5,-0.042716422,D,386,93,connected,14
148.7162912,-41,-0.350274663,D,386,93,connected,14
149.2060981,-60,-0.512597068,D,386,93,connected,14
149.7131829,-72,-0.615116482,D,386,93,connected,14
150.2040288,-78,-0.666376188,D,386,93,connected,14
150.7121477,-66,-0.563856775,D,386,93,connected,14
151.2031457,-50,-0.427164223,D,386,93,connected,14
151.7099113,-28,-0.239211965,D,386,93,connected,14
152.2042477,0,0,D,386,93,connected,14
152.7128065,0,0,D,386,93,connected,14
153.2042763,0,0,D,386,93,connected,14
153.7075796,0,0,D,386,93,connected,14
154.2131193,0,0,D,386,93,connected,14
154.7031236,0,0,D,386,93,connected,14
155.2122464,0,0,D,386,93,connected,14
155.7039859,0,0,D,386,93,connected,14
156.2108986,0,0,D,386,93,connected,14
156.716393,0,0,D,386,93,connected,14
157.2036839,0,0,D,386,93,connected,14
157.7121027,0,0,D,386,93,connected,14
158.2053182,0,0,D,386,93,connected,14
158.7156401,0,0,D,386,93,connected,14
159.2114956,0,0,D,386,93,connected,14
159.706398,0,0,D,386,93,connected,14
160.2150166,0,0,D,386,93,connected,14
160.7086022,0,0,D,386,93,connected,14
161.2026324,0,0,D,386,93,connected,14
161.7126727,0,0,D,386,93,connected,14
162.2065122,0,0,D,386,93,connected,14
162.7156622,0,0,D,386,93,connected,14
163.2093801,0,0,D,386,93,connected,14
163.7148998,0,0,D,386,93,connected,14
164.2033708,0,0,D,386,93,connected,14
164.7077544,0,0,D,386,93,connected,14
165.2085688,0,0,D,386,93,connected,14
165.7090158,0,0,D,386,93,connected,14
166.2136934,0,0,D,386,93,connected,14
166.7174623,0,0,D,386,93,connected,14
167.2042902,0,0,D,386,93,connected,14
167.7098613,0,0,D,386,93,connected,14
168.2143493,0,0,D,386,93,connected,14
168.7076752,0,0,D,386,93,connected,14
169.211205,0,0,D,386,93,connected,14
169.7134321,0,0,D,386,93,connected,14
170.203665,0,0,D,386,93,connected,14
170.7071643,0,0,D,386,93,connected,14
171.2118649,0,0,D,386,93,connected,14
171.7155011,0,0,D,386,93,connected,14
172.206923,0,0,D,386,93,connected,14
172.7086005,0,0,D,386,93,connected,14
173.2088847,0,0,D,386,93,connected,14
173.7105317,0,0,D,386,93,connected,14
174.2102346,0,0,D,386,93,connected,14
174.714164,0,0,D,386,93,connected,14
175.2159922,0,0,D,386,93,connected,14
175.7041202,0,0,D,386,93,connected,14
176.2046714,0,0,D,386,93,connected,14
176.7036531,0,0,D,386,93,connected,14
177.2083998,0,0,D,386,93,connected,14
177.7128921,0,0,D,386,93,connected,14
178.2099752,0,0,D,386,93,connected,14
178.7115242,0,0,D,386,93,connected,14
179.2120855,0,0,D,386,93,connected,14
179.7154286,0,0,D,386,93,connected,14
180.2026701,0,0,D,386,93,connected,14
180.7055638,0,0,D,386,93,connected,14
181.2125421,0,0,D,386,93,connected,14
181.7146194,0,0,D,386,93,connected,14
182.2156162,0,0,D,386,93,connected,14
182.7176971,0,0,D,386,93,connected,14
183.2033007,0,0,D,386,93,connected,14
183.706382,0,0,D,386,93,connected,14
184.2059388,0,0,D,386,93,connected,14
184.7068624,0,0,D,386,93,connected,14
185.2074878,0,0,D,386,93,connected,14
185.7062325,0,0,D,386,93,connected,14
186.2090251,0,0,D,386,93,connected,14
186.7107599,0,0,D,386,93,connected,14
187.2117839,0,0,D,386,93,connected,14
187.7126117,0,0,D,386,93,connected,14
188.2134967,0,0,D,386,93,connected,14
